id;time_of_message;game_part;score;score_part;hidden;hide_timer;remaining_time_in_period;relative_player_count
1;2020-10-26T11:34:45;innovative;black Chips;calculate Executive partnerships;true;true;13834;87800
2;2020-10-27T00:04:34;virtual e-services turquoise;Madagascar Grass-roots;best-of-breed payment;false;true;6627;38895
3;2020-10-26T21:14:05;matrix;Security frictionless cultivate;help-desk SAS;true;false;80654;98278
4;2020-10-26T05:10:43;challenge Handcrafted Cotton Hat;Lead Borders;blue;true;true;82753;77580
5;2020-10-26T17:13:47;ADP Intelligent Steel Towels Division;Hat Computers Handcrafted Metal Pizza;parsing Grocery Director;true;false;58474;11710
6;2020-10-26T16:39:41;teal;customized;Factors back up Toys;false;false;85029;14599
7;2020-10-26T18:56:24;orchid enterprise Grocery;haptic reinvent Frozen;Fresh Japan;true;false;24905;41034
8;2020-10-26T16:58:36;Lead Garden;overriding;Group De-engineered;false;false;72781;56516
9;2020-10-27T00:48:38;Pennsylvania Orchestrator Assistant;Beauty;fuchsia;true;false;71711;56521
10;2020-10-26T13:29:17;Dong challenge;index Nebraska Buckinghamshire;e-tailers Villages Savings Account;true;true;5179;61956
